Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Montenegro,MNE,"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,-964104119.966395,-1128792157.0367,-208000272.400166,-73985156.0630483,-150330238.227358
Montenegro,MNE,Net foreign assets (current LCU),FM.AST.NFRG.CN,830859729.736879,1077015925.73687,1033074527.87091,1282383102.96696,1488141474.02987
Montenegro,MNE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.06294499167197,-15.3068937570407,13.0434642521552,6.40668032879275,5.98190321595602
Montenegro,MNE,GDP per capita (current US$),NY.GDP.PCAP.CD,8909.6538759126,7677.37132106817,9465.96153027794,10093.4387007266,12016.907421906
Montenegro,MNE,"Tariff rate, applied, simple mean, all products (%)",TM.TAX.MRCH.SM.AR.ZS,1.51,1.74,1.97,..,..
Montenegro,MNE,"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,3.75,3.66,3.75,..,..
Montenegro,MNE,"Time to import, documentary compliance (hours)",IC.IMP.TMDC,5.5,..,..,..,..
Montenegro,MNE,"Time to import, border compliance (hours)",IC.IMP.TMBC,23.22222,..,..,..,..
Morocco,MAR,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,41.9050584109511,38.0496964364582,42.4483830655505,56.3062433184629,52.2561050605119
Morocco,MAR,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,2.13005512465161,-11.8873125930322,10.4037713569291,9.01495284614143,8.23474783737963
Morocco,MAR,Imports of goods and services (constant 2015 US$),NE.IMP.GNFS.KD,52964819581.2528,46668725913.2937,51524033452.5047,56168900772.6782,60794268114.3362
Morocco,MAR,"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,-3329426607.78656,389419934.592307,-2406117821.82539,-2713486416.61293,281831530.972791
Morocco,MAR,Net foreign assets (current LCU),FM.AST.NFRG.CN,263851623580.722,318142556260.753,316707827569.197,317005313906.342,351716668045.965
Morocco,MAR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.89097476137077,-7.17820744246774,8.02098437000988,1.25854398420971,3.17794683511849
Morocco,MAR,GDP per capita (current US$),NY.GDP.PCAP.CD,3498.58276367188,3258.26904296875,3767.52490234375,3441.99145507813,3672.1123046875
Morocco,MAR,"Tariff rate, applied, simple mean, all products (%)",TM.TAX.MRCH.SM.AR.ZS,4.33,4.33,5.73,..,..
Morocco,MAR,"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,11.53,11.53,14.39,..,..
Morocco,MAR,"Time to import, documentary compliance (hours)",IC.IMP.TMDC,26,..,..,..,..
Morocco,MAR,"Time to import, border compliance (hours)",IC.IMP.TMBC,57,..,..,..,..
Mozambique,MOZ,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,68.4491150385804,67.1162725832285,71.7284659356564,83.0166100483244,..
Mozambique,MOZ,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,-11.1923244981661,-4.20422842953371,9.6888101753907,30.1710258582694,..
Mozambique,MOZ,Imports of goods and services (constant 2015 US$),NE.IMP.GNFS.KD,11241551495.2294,10768930991.3463,11812312273.0166,15376208063.368,..
Mozambique,MOZ,"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,-2842277045.70146,-3761622632.50402,-3235141897.11489,-6151021633.67002,-1801100683.67562
Mozambique,MOZ,Net foreign assets (current LCU),FM.AST.NFRG.CN,246462232603.772,313198478365.721,242180170316.744,203308282927.332,209637373151.211
Mozambique,MOZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.3178139469445,-1.21952250306097,2.37743573747173,4.35980020115213,5.00002417303148
Mozambique,MOZ,GDP per capita (current US$),NY.GDP.PCAP.CD,512.215756850012,456.581918375225,504.037758654687,558.298592504349,608.442707550256
Mozambique,MOZ,"Tariff rate, applied, simple mean, all products (%)",TM.TAX.MRCH.SM.AR.ZS,..,8.94,8.84,..,..
Mozambique,MOZ,"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,..,10.38,10.38,..,..
Mozambique,MOZ,"Time to import, documentary compliance (hours)",IC.IMP.TMDC,16,..,..,..,..
Mozambique,MOZ,"Time to import, border compliance (hours)",IC.IMP.TMBC,9,..,..,..,..
Myanmar,MMR,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,..,..,..,..,..
Myanmar,MMR,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,..,..,..,..,..
Myanmar,MMR,Imports of goods and services (constant 2015 US$),NE.IMP.GNFS.KD,..,..,..,..,..
Myanmar,MMR,"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,-2417894206.77193,..,..,..,..
Myanmar,MMR,Net foreign assets (current LCU),FM.AST.NFRG.CN,10782366299594,12745102628245,..,..,..
Myanmar,MMR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.57911006765414,-9.04834717984643,-12.0163724829177,4.0374934360085,1.00223834289773
Myanmar,MMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1415.24898557512,1478.87278562378,1233.22776997352,1149.01896107058,1187.56706423461
Myanmar,MMR,"Tariff rate, applied, simple mean, all products (%)",TM.TAX.MRCH.SM.AR.ZS,3.68,..,3.07,..,..
Myanmar,MMR,"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,6.51,..,6.51,..,..
Myanmar,MMR,"Time to import, documentary compliance (hours)",IC.IMP.TMDC,48,..,..,..,..
Myanmar,MMR,"Time to import, border compliance (hours)",IC.IMP.TMBC,230,..,..,..,..
Namibia,NAM,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,46.5002696252189,43.2473734519041,51.587892222703,58.7630360048845,66.1982315276166
Namibia,NAM,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,-3.98363460689518,-15.0432575588317,20.17924625571,22.9823607930919,22.7419206732539
Namibia,NAM,Imports of goods and services (constant 2015 US$),NE.IMP.GNFS.KD,6369711843.23099,5411499684.89834,6503499532.44095,7998157259.16358,9817091838.36465
Namibia,NAM,"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,-10984860.332398,251651040.59088,-1380047415.41646,-1621718707.3359,-1692400027.23886
Namibia,NAM,Net foreign assets (current LCU),FM.AST.NFRG.CN,38201086661.1378,41986520992.8901,46373107525.1816,52203974337.1147,67020692117.9581
Namibia,NAM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.839154686169735,-8.1014007457625,3.60382919248703,5.34966408559102,4.1599857377939
Namibia,NAM,GDP per capita (current US$),NY.GDP.PCAP.CD,5126.17614281673,4252.04172014353,4901.87588947838,4895.68066089139,4742.78382677745
Namibia,NAM,"Tariff rate, applied, simple mean, all products (%)",TM.TAX.MRCH.SM.AR.ZS,7.26,6.66,6.73,..,..
Namibia,NAM,"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,10.18,7.82,7.89,..,..
Namibia,NAM,"Time to import, documentary compliance (hours)",IC.IMP.TMDC,3.25,..,..,..,..
Namibia,NAM,"Time to import, border compliance (hours)",IC.IMP.TMBC,5.5,..,..,..,..
Nauru,NRU,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,95.4285714285714,91.3978494623656,80,113.207547169811,..
Nauru,NRU,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,..,..,..,..,..
Nauru,NRU,Imports of goods and services (constant 2015 US$),NE.IMP.GNFS.KD,..,..,..,..,..
Nauru,NRU,"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,..,..,..,..,..
Nauru,NRU,Net foreign assets (current LCU),FM.AST.NFRG.CN,..,..,..,..,..
Nauru,NRU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.5470085470084,1.57480314960559,7.75193798449692,2.15827338129438,0.704225352112744
Nauru,NRU,GDP per capita (current US$),NY.GDP.PCAP.CD,10316.5278229326,10124.7006220945,14018.8858357941,12142.769929785,12060.0781059109
Nauru,NRU,"Tariff rate, applied, simple mean, all products (%)",TM.TAX.MRCH.SM.AR.ZS,19.51,17.59,16.27,..,..
Nauru,NRU,"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,18.93,15.31,15.45,..,..
Nauru,NRU,"Time to import, documentary compliance (hours)",IC.IMP.TMDC,..,..,..,..,..
Nauru,NRU,"Time to import, border compliance (hours)",IC.IMP.TMBC,..,..,..,..,..
Nepal,NPL,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,41.4695901124501,34.1135757694721,37.9346333063959,42.271010614,34.6824502284482
Nepal,NPL,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,5.81522018387808,-20.8480903733518,18.8140650436639,16.3530768053613,-18.7276900988965
Nepal,NPL,Imports of goods and services (constant 2015 US$),NE.IMP.GNFS.KD,14796315597.0299,11711566349.4348,13914988060.0493,16190516744.966,13158406943.5588
Nepal,NPL,"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,-657260867.314239,483065992.765225,-5035272434.06591,-1179551831.75038,1862205921.02239
Nepal,NPL,Net foreign assets (current LCU),FM.AST.NFRG.CN,1049516220030.05,1417816641060.08,1144069610147.37,1177399295766.96,1630866560120.26
Nepal,NPL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.65705543110468,-2.3696206292072,4.838149614115,5.63131455871746,1.95254463264347
Nepal,NPL,GDP per capita (current US$),NY.GDP.PCAP.CD,1185.68231827815,1139.18989468388,1229.39420401521,1348.15718956035,1324.03198433372
Nepal,NPL,"Tariff rate, applied, simple mean, all products (%)",TM.TAX.MRCH.SM.AR.ZS,20.2,12.1,13.1,..,..
Nepal,NPL,"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,17.27,12.6,12.69,..,..
Nepal,NPL,"Time to import, documentary compliance (hours)",IC.IMP.TMDC,48,..,..,..,..
