Country Name,2019 [YR2019]_econ,2020 [YR2020]_econ,2021 [YR2021]_econ,2022 [YR2022]_econ,2023 [YR2023]_econ,2019 [YR2019]_gov,2020 [YR2020]_gov,2021 [YR2021]_gov,2022 [YR2022]_gov,2023 [YR2023]_gov
Albania,0.0005665299138918179,0.0003733459478520661,0.0003536626246031305,0.001097324381621875,0.009565378884179306,0.26987619898788423,0.262324119119154,0.2715349667190482,0.27839680386938515,0.29034506737655985
Algeria,0.001020340085429969,0.0006760540780116267,0.0006265227128987639,0.001548777281636632,0.010140905509658371,0.13531210286622838,0.14067196063417167,0.14276450791755482,0.15348226415122163,0.16236400170741094
Andorra,0.0005197963847367276,0.00033269918982472646,0.00030626793745172566,0.0010444789094282768,0.009496665850394308,0.45952172968712723,0.46240162493534104,0.46301189161563916,0.46066398113327217,0.4554307127910836
Angola,0.0009927722158872552,0.0007290310798937644,0.0006213340976002903,0.0014223921764777495,0.010261508043531492,0.14060739027442548,0.13656348704849935,0.15033743268438418,0.15683335551713415,0.160899206130216
Antigua and Barbuda,0.0005199815992303291,0.00033282516924624747,0.00030644693864660064,0.0010446948725826015,0.00949692058985995,0.34598256661598153,0.3427071791934189,0.3393252117778492,0.34024316396990295,0.3619373902954611
Argentina,0.0006232989559990875,0.0004261792230341699,0.0003974716360260195,0.00131534258696005,0.009822355448948838,0.2714133660596098,0.2602329041525437,0.24578287317881173,0.23995835679020694,0.24710358603850688
Armenia,0.0005214787217338206,0.0003055193739409594,0.000298105450064686,0.001068120017695958,0.009526239211177843,0.26540174409718875,0.25832723514565337,0.25689570146980656,0.25248720257489826,0.25605009786378197
Australia,0.0005327709868013627,0.00032626606596771694,0.00028615401434505607,0.0010211950061321743,0.009485479302753739,0.4867139550869321,0.4818087540499159,0.4824619725428918,0.48594214567703486,0.490256534218363
Austria,0.0005439305568426627,0.0003515094801308634,0.0003244138489118546,0.0010644457675623126,0.00952120925480274,0.4809289332158345,0.4808644967636963,0.47557371705685875,0.46290789661384396,0.46862137112182467
Azerbaijan,0.0005218868330268779,0.00033415211147818356,0.00030840053460912977,0.001048555709812706,0.009500196680982528,0.18201742707688243,0.1606254023715891,0.18924227911298017,0.17212370795698562,0.1753816624483114
"Bahamas, The",0.000520345198741829,0.0003330591718250266,0.00030665477508382634,0.0010449533651035127,0.009497255368356548,0.36198138840838395,0.36428332361569127,0.3681839209873933,0.3619576671363759,0.371279199284939
Bahrain,0.0005197319716251083,0.00033221275548874586,0.00030647538614235345,0.0010451584770762006,0.009496908391585592,0.26585122713913173,0.267044991221444,0.2888376630662502,0.29467697118573977,0.3005120144433664
